protein_id,locus_match,new_gene,gene,name,description
WP_011654792.1,,RL_RS29930,pRL110034,-,putative ATP-binding component of ABC transporter
WP_011654793.1,,RL_RS29935,pRL110035,-,hypothetical protein
WP_011654794.1,SM_b20992,RL_RS29940,pRL110036,-,hypothetical protein
WP_011654795.1,,RL_RS29945,pRL110037,-,putative two component fused sensor/regulator transcriptional regulator
WP_011654796.1,SM_b21490,RL_RS29950,pRL110038,-,putative surfeit locus protein 1
WP_003548367.1,SM_b22024,RL_RS29955,pRL110039,-,putative cytochrome o ubiquinol oxidase protein CyoD
WP_003548370.1,SM_b21489,RL_RS29960,pRL110040,-,putative cytochrome o ubiquinol oxidase subunit III
WP_003548372.1,SM_b21488,RL_RS29965,pRL110041,-,putative ubiquinol oxidase polypeptide I
WP_011654798.1,SM_b21487,RL_RS29970,pRL110042,-,putative ubiquinol oxidase polypeptide II precursor
WP_011654799.1,SM_b21486,RL_RS29975,pRL110043,-,putative transmembrane transporter protein
WP_011654800.1,,RL_RS29985,pRL110045,-,hypothetical protein
WP_173364460.1,SM_b21266,RL_RS30000,pRL110048,-,hypothetical protein
WP_011654804.1,SM_b21264,RL_RS30010,pRL110050,-,hypothetical protein
WP_011654805.1,SM_b21263,RL_RS30015,pRL110051,-,putative transmembrane permease component of ABC transporter
WP_003548391.1,SM_b21262,RL_RS30020,pRL110052,-,putative permease component of ABC transporter
WP_041936859.1,SM_b21257,RL_RS30035,pRL110055,-,putative adenylate cyclase
,,,pRL110057,-,hypothetical protein
WP_041936860.1,SM_b21255,RL_RS30050,pRL110058,-,putative adenylyl cyclase
WP_011654812.1,,RL_RS30055,pRL110059,-,hypothetical protein
WP_011654813.1,SM_b20941,RL_RS30060,pRL110060,-,putative transmembrane component of ABC transporter
WP_011654814.1,SMc01160,RL_RS30065,pRL110061,-,hypothetical protein
WP_011654815.1,SMc01159,RL_RS30070,pRL110062,-,hypothetical protein
WP_011654816.1,,RL_RS30075,pRL110063,-,hypothetical protein
WP_011654817.1,,RL_RS30080,pRL110064,-,hypothetical protein
WP_011654818.1,,RL_RS30085,pRL110065,-,hypothetical protein
WP_011654819.1,SMc01818,RL_RS30090,pRL110066,-,putative adenylate cyclase
WP_011654820.1,SM_b21252,RL_RS30095,pRL110067,-,putative glycosyltransferase
WP_011654821.1,SM_b21253,RL_RS30100,pRL110068,-,hypothetical protein
WP_041936952.1,SMc03098,RL_RS30105,pRL110069,-,putative hydrolase
WP_011654823.1,,RL_RS30110,pRL110070,-,hypothetical protein
WP_011654825.1,,RL_RS30120,pRL110072,-,putative GntR family transcriptional regulator
WP_011654826.1,,RL_RS30125,pRL110073,-,putative GntR family transcriptional regulator
WP_011654827.1,,RL_RS30130,pRL110074,-,putative dioxygenase
WP_011654828.1,,RL_RS30135,pRL110075,-,putative substrate-binding component of ABC transporter
WP_011654829.1,,RL_RS30140,pRL110076,-,putative 3-dehydroquinate dehydratase
WP_011654830.1,SMa0079,RL_RS30145,pRL110077,-,putative permease component of ABC transporter
WP_011654831.1,SMa0081,RL_RS30150,pRL110078,-,putative permease component of ABC transporter
WP_173364462.1,,RL_RS30155,pRL110079,-,putative ATP-binding component of ABC transporter
WP_011654833.1,,RL_RS30160,pRL110080,-,putative GFO/IDH/MOCA family oxidoreductase protein
WP_011654834.1,,RL_RS30165,pRL110081,-,putative shikimate 5-dehydrogenase
WP_011654835.1,,RL_RS30170,pRL110082,-,putative TetR family transcriptional regulator
WP_041936861.1,,RL_RS30175,pRL110083,-,hypothetical protein
WP_041936953.1,SMa0513,RL_RS30180,pRL110084,-,putative gluconate 5-dehydrogenase
WP_011654839.1,SM_b20576,RL_RS30190,pRL110086,-,"putative protocatechuate 3,4-dioxygenase alpha chain"
WP_011654840.1,SM_b20577,RL_RS30195,pRL110087,-,"putative protocatechuate 3,4-dioxygenase beta chain"
WP_011654841.1,SM_b20578,RL_RS30200,pRL110088,-,putative carboxymuconolactone decarboxylase
WP_011654842.1,SM_b20579,RL_RS30205,pRL110089,-,putative b-ketoadipate enol-lactone hydrolase
WP_011654843.1,SM_b20580,RL_RS30210,pRL110090,-,putative LysR family transcriptional regulator PcaQ
WP_041936862.1,,RL_RS30215,pRL110091,-,hypothetical protein
WP_011654845.1,,RL_RS30220,pRL110092,-,hypothetical protein
WP_011654846.1,SM_b20688,RL_RS30225,pRL110093,-,hypothetical protein
WP_041936864.1,,RL_RS30235,pRL110094,-,-
WP_011654847.1,,RL_RS30240,pRL110095,-,putative transmembrane protein
WP_011654848.1,,RL_RS30245,pRL110096,-,hypothetical protein
WP_011654849.1,,RL_RS30255,pRL110097,-,hypothetical protein
WP_011654850.1,SMc02296,RL_RS30260,pRL110098,-,putative type I restriction enzyme
WP_011654851.1,SMc02295,RL_RS38535,pRL110099,-,putative type I restriction-modification system specificity subunit
WP_011654852.1,,RL_RS30270,pRL110100,-,hypothetical protein
WP_011654853.1,SMc02292,RL_RS30275,pRL110101,-,putative type I restriction-modification system HsdR
WP_011654854.1,,RL_RS30280,pRL110102,-,hypothetical protein
,,,pRL110103,-,hypothetical protein
,,,pRL110104,-,hypothetical protein
WP_011654857.1,,RL_RS30295,pRL110105,-,putative LysR family transcriptional regulator
WP_011654860.1,SM_b21406,RL_RS30310,pRL110108,-,hypothetical protein
WP_011654861.1,,RL_RS30315,pRL110108A,-,hypothetical protein
WP_011654862.1,,RL_RS30320,pRL110109,-,hypothetical protein
,,,pRL110110,-,hypothetical protein
WP_041936868.1,,RL_RS30325,pRL110111,-,hypothetical protein
WP_041936869.1,,RL_RS30330,pRL110112,-,putative transcriptional regulator adenylate cyclase
WP_011654866.1,,RL_RS30335,pRL110113,-,hypothetical protein
,,,pRL110113A,-,hypothetical protein
,,,pRL110114,-,hypothetical protein
WP_011654869.1,,RL_RS30340,pRL110115,-,putative DNA Ligase
WP_011654870.1,,RL_RS30345,pRL110116,-,putative transmembrane protein
WP_041936957.1,,RL_RS30350,pRL110117,-,hypothetical protein
WP_011654872.1,,RL_RS30355,pRL110118,-,hypothetical protein
WP_041936870.1,,RL_RS30360,pRL110119,-,putative AraC family transcriptional regulator
,,,pRL110120,-,hypothetical protein
WP_011654875.1,,RL_RS30370,pRL110121,-,hypothetical protein
WP_011654877.1,,RL_RS30380,pRL110123,-,putative transmembrane nitrile hydratase
WP_011654878.1,,RL_RS30385,pRL110124,-,putative cobalt-containing nitrile hydratase subunit alpha
WP_011654879.1,,RL_RS30390,pRL110125,-,putative low-molecular weight cobalt-containing nitrile hydratase subunit beta
WP_011654880.1,,RL_RS30395,pRL110126,-,putative transmembrane protein
WP_041936872.1,,RL_RS30400,pRL110127,-,putative CobW family protein
,,,pRL110128,-,hypothetical protein
WP_122330922.1,,RL_RS30405,pRL110129,-,hypothetical protein
,,,pRL110130,-,hypothetical protein
,,,pRL110131,-,hypothetical protein
WP_011654886.1,,RL_RS30420,pRL110132,-,putative short-chain dehydrogenase/oxidoreductase
WP_011654887.1,,RL_RS30425,pRL110133,-,putative adenylate cyclase/transcriptional regulator
WP_011654888.1,,RL_RS30430,pRL110134,-,putative alcohol dehydrogenase
WP_011654889.1,SM_b20209,RL_RS30435,pRL110135,-,putative tautomerase
WP_041936958.1,,RL_RS30440,pRL110136,-,putative non-heme chloroperoxidase
WP_011654891.1,SM_b20168,RL_RS30445,pRL110137,-,putative cyclase/dehydrase
WP_041936874.1,,RL_RS30450,pRL110138,-,hypothetical protein
WP_041936875.1,,RL_RS30455,pRL110139,-,putative oxidoreductase
,,RL_RS30460,pRL110140,-,-
,,,pRL110141,-,hypothetical protein
WP_041936959.1,,RL_RS30470,pRL110142,-,hypothetical protein
WP_011654897.1,,RL_RS30490,pRL110145,-,hypothetical protein
WP_026238542.1,,RL_RS30495,pRL110146,-,putative FUR family transcriptional regulator
WP_233938957.1,,RL_RS30500,pRL110147,-,putative transmembrane protein
WP_011654900.1,SM_b20710,RL_RS30505,pRL110148,-,putative 2-hydroxy-3-oxopropionate reductase
WP_011654902.1,,RL_RS30515,pRL110150,-,putative aldolase
WP_011654903.1,,RL_RS30520,pRL110151,-,hypothetical protein
WP_011654904.1,,RL_RS30525,pRL110152,-,putative oxidoreductase/dehydrogenase
WP_011654905.1,,RL_RS30530,pRL110153,-,putative tartrate dehydrogenase
WP_041936878.1,SMc01971,RL_RS30535,pRL110154,-,putative aldehyde dehydrogenase
WP_033184593.1,,RL_RS30540,pRL110155,-,putative short-chain dehydrogenase/reductase
WP_032997390.1,,RL_RS30545,pRL110156,-,putative aldolase
WP_011654909.1,,RL_RS30550,pRL110157,-,hypothetical protein
WP_011654910.1,SMa1485,RL_RS30555,pRL110158,-,putative transcription regulatory protein
WP_011654911.1,,RL_RS30560,pRL110159,-,hypothetical protein
WP_011654912.1,,RL_RS30565,pRL110160,-,putative LysR family transcriptional regulator
WP_233938955.1,,RL_RS30570,pRL110161,-,putative aldehyde dehydrogenase
WP_011654914.1,,RL_RS30575,pRL110162,-,putative glyoxylate reductase
WP_011654915.1,,RL_RS30580,pRL110163,-,hypothetical protein
WP_011654917.1,,RL_RS30590,pRL110165,-,hypothetical protein
WP_011654918.1,SMa0339,RL_RS30595,pRL110166,-,putative cyclohexadiene dehydrogenase
WP_049778474.1,,RL_RS30605,pRL110168,-,putative ATP-binding ABC transporter protein
WP_011654921.1,,RL_RS30610,pRL110169,-,putative substrate-binding component of ABC transporter
WP_011654922.1,,RL_RS30615,pRL110170,-,putative alcohol dehydrogenase
WP_011654923.1,,RL_RS30620,pRL110171,-,hypothetical protein
WP_011654924.1,,RL_RS30625,pRL110172,-,putative transmembrane protein
WP_011654927.1,SMa2213,RL_RS30640,pRL110175,-,putative aldehyde dehydrogenase
WP_041936962.1,,RL_RS30650,pRL110177,-,putative IclR family transcriptional regulator
WP_011654930.1,,RL_RS30655,pRL110178,-,putative short-chain dehydrogenase/reductase
WP_011654931.1,,RL_RS30660,pRL110179,-,putative calcium-binding protein
WP_011654932.1,,RL_RS30665,pRL110180,-,hypothetical protein
WP_011654933.1,,RL_RS30670,pRL110181,-,hypothetical protein
,,,pRL110181A,-,hypothetical protein
WP_011654935.1,,RL_RS30675,pRL110182,-,hypothetical protein
WP_041936881.1,,RL_RS30680,pRL110183,-,putative transmembrane protein
WP_011654937.1,,RL_RS30685,pRL110184,-,putative LysR family transcriptional regulatory protein
WP_041936882.1,SMa1103,RL_RS30690,pRL110185,-,putative transmembrane adenylate cyclase
,,,pRL110187,-,hypothetical protein
,,,pRL110188,-,putative transmembrane protein
,,,pRL110189,-,hypothetical protein
WP_011654943.1,,RL_RS30705,pRL110190,-,putative transmembrane protein
WP_041936883.1,SMc03862,RL_RS30710,pRL110191,-,putative transmembrane protein
WP_041936884.1,,RL_RS30715,pRL110192,-,hypothetical protein
WP_011654946.1,,RL_RS30720,pRL110193,-,putative DNA binding protein
,,,pRL110193A,-,hypothetical protein
WP_003548612.1,,RL_RS30735,pRL110194,-,hypothetical protein
WP_011654948.1,,RL_RS30745,pRL110195,-,hypothetical protein
WP_011654949.1,,RL_RS30755,pRL110196,-,hypothetical protein
,,,pRL110197,-,-
WP_041936889.1,,RL_RS30765,pRL110198,-,hypothetical protein
WP_011654951.1,,RL_RS30770,pRL110199,-,hypothetical protein
WP_011654952.1,SMc01408,RL_RS30780,pRL110200,-,hypothetical protein
WP_026160345.1,SMc04233,RL_RS30785,pRL110201,-,putative chaperone
WP_011654955.1,SM_b21164,RL_RS30800,pRL110204,-,putative formiminoglutamase
WP_011654956.1,SM_b21165,RL_RS30805,pRL110205,-,putative histidine ammonia-lyase
WP_011654957.1,SM_b21166,RL_RS30810,pRL110206,-,putative imidazolonepropionase
WP_011654958.1,SMc00673,RL_RS30815,pRL110207,-,putative histidine degradation related amidohydrolase
WP_011654959.1,SM_b20048,RL_RS30820,pRL110208,-,putative GntR family transcriptional regulator
WP_011654962.1,,RL_RS30835,pRL110211,-,putative substrate-binding component of ABC transporter
WP_011654963.1,,RL_RS30840,pRL110212,-,putative permease component of ABC transporter
WP_011654964.1,SMa0492,RL_RS30845,pRL110213,-,putative permease component of ABC transporter
WP_003548676.1,,RL_RS30850,pRL110214,-,putative ATP-binding component of ABC transporter
WP_011654965.1,SMc00669,RL_RS30855,pRL110215,-,putative histidine ammonia-lyase
WP_041936891.1,,RL_RS30860,pRL110216,-,hypothetical protein
WP_027689955.1,,RL_RS30865,pRL110217,-,hypothetical protein
WP_011654968.1,,RL_RS30870,pRL110218,-,hypothetical protein
WP_041936892.1,SMa1680,RL_RS30875,pRL110219,-,hypothetical protein
WP_233939088.1,,RL_RS30880,pRL110220,-,putative exported acid phosphatase
WP_041936893.1,SMa1683,RL_RS30885,pRL110221,-,putative arylsulfatase
WP_041936894.1,SMa1684,RL_RS30890,pRL110222,-,putative transmembrane two-component sensor histidine kinase transcriptional regulator
WP_011654973.1,SMa1686,RL_RS30895,pRL110223,-,putative two-component response regulator transcriptional regulator
WP_011654974.1,SMa1688,RL_RS30900,pRL110224,-,putative two-component response regulator
WP_165422434.1,,RL_RS40305,pRL110225,-,hypothetical protein
WP_011654976.1,,RL_RS30905,pRL110226,-,putative transmembrane acid phosphatase
WP_011654977.1,,RL_RS30910,pRL110227,-,putative transmembrane protein
WP_011654978.1,,RL_RS30915,pRL110228,-,putative transmembrane protein
,,RL_RS38605,pRL110229,-,hypothetical protein
WP_011654980.1,,RL_RS30920,pRL110230,-,hypothetical protein
WP_011654985.1,,RL_RS30945,pRL110235,-,putative HlyD family protein
WP_011654986.1,SMc01987,RL_RS30950,pRL110236,-,putative dehydrogenase
WP_003548716.1,SMc00251,RL_RS30960,pRL110237,-,hypothetical protein
,,,pRL110238,-,hypothetical protein
WP_011654989.1,SM_b21035,RL_RS30965,pRL110239,-,hypothetical protein
WP_011654990.1,,RL_RS30970,pRL110240,-,putative methyltransferase
WP_011654991.1,SM_b21649,RL_RS30975,pRL110241,-,putative AraC family transcriptional regulator
WP_011654992.1,SM_b21648,RL_RS30980,pRL110242,-,putative alpha-galactosidase
WP_011654993.1,SM_b21647,RL_RS30985,pRL110243,-,putative substrate-binding component of ABC transporter
WP_011654994.1,SM_b21646,RL_RS30990,pRL110244,-,putative permease component of ABC transporter
WP_011654995.1,SM_b21645,RL_RS30995,pRL110245,-,pututative permease component of ABC transporter
WP_011654996.1,SM_b21644,RL_RS31000,pRL110246,-,putative ATP-binding component of ABC transporter
WP_011654997.1,SM_b21643,RL_RS31005,pRL110247,-,putative alpha-galactosidase
WP_122330924.1,SMa0136,RL_RS31010,pRL110248,-,putative transmembrane protein
WP_011654999.1,,RL_RS31020,pRL110251,-,hypothetical protein
WP_011655000.1,SMc01490,RL_RS31025,pRL110252,-,hypothetical protein
WP_204339815.1,,RL_RS31030,pRL110253,-,hypothetical protein
WP_041936897.1,SMc01412,RL_RS31035,pRL110254,-,hypothetical protein
WP_011655003.1,,RL_RS31040,pRL110255,-,hypothetical protein
WP_041936898.1,SMc01491,RL_RS31045,pRL110256,-,putative adenylate cyclase
,,RL_RS31050,pRL110257,-,-
WP_028741728.1,,RL_RS31055,pRL110257A,-,hypothetical protein
WP_027687847.1,,RL_RS31060,pRL110257B,-,hypothetical protein
WP_017992210.1,,RL_RS31065,pRL110258,-,hypothetical protein
WP_011655008.1,SM_b20475,RL_RS31070,pRL110259,-,hypothetical protein
,,,pRL110260A,-,hypothetical protein
WP_233939083.1,,RL_RS31075,pRL110261,-,putative cell division (penicillin-binding family) protein
WP_011655011.1,,RL_RS31080,pRL110262,-,putative transmembrane protein
WP_011655012.1,,RL_RS31085,pRL110263,-,hypothetical protein
WP_003548852.1,,RL_RS31090,pRL110264,-,putative transmembrane protein
WP_028741734.1,,RL_RS31095,pRL110265,-,putative outer membrane protein
WP_003548854.1,,RL_RS31100,pRL110266,-,putative succinoglycan biosynthesis protein
WP_041936899.1,SMa1769,RL_RS31105,pRL110267,-,hypothetical protein
WP_011655015.1,SM_b21456,RL_RS31110,pRL110268,-,hypothetical protein
WP_011655016.1,SMc04015,RL_RS31115,pRL110269,-,putative GGDEF family regulator
WP_011655017.1,,RL_RS31120,pRL110270,-,putative ArdC antirestriction protein
WP_011655018.1,,RL_RS31125,pRL110271,-,putative WGR-family protein
,,,pRL110272,-,putative hth-type transcriptional regulator
WP_011655020.1,SMa0592,RL_RS31135,pRL110273,-,hypothetical protein
,,RL_RS31140,pRL110274,-,putative transmembrane traG transfer-related protein
WP_011655022.1,,RL_RS31145,pRL110275,-,putative mobilization protein MobS
WP_011655024.1,,RL_RS31155,pRL110277,-,putative ATP-binding component of ABC transporter
WP_003548893.1,,RL_RS31160,pRL110278,-,putative ATP-binding component of ABC transporter
WP_011655025.1,,RL_RS31165,pRL110279,-,putative substrate-binding component of ABC transporter
WP_003548897.1,,RL_RS31170,pRL110280,-,putative permease component of ABC transporter
WP_011655027.1,SM_b20924,RL_RS31180,pRL110282,-,putative alpha-N-arabinofuranosidase
WP_041936900.1,,RL_RS31190,pRL110284,-,putative methylamine utilization protein MauG precursor
WP_011655030.1,,RL_RS31195,pRL110285,-,putative acid phosphatase
WP_011655031.1,SM_b20586,RL_RS31200,pRL110286,-,putative IclR transcriptional regulatory protein
WP_011655032.1,,RL_RS31205,pRL110287,-,putative 3-oxoadipate CoA-transferase subunit A
WP_011655033.1,,RL_RS31210,pRL110288,-,putative 3-oxoadipate CoA-transferase subunit B
WP_011655034.1,SM_b20589,RL_RS31215,pRL110289,-,putative beta-ketoadipyl CoA thiolase
WP_011655035.1,,RL_RS31220,pRL110290,-,putative acetyltransferase
WP_011655036.1,,RL_RS31225,pRL110291,-,hypothetical protein
WP_011655037.1,,RL_RS31230,pRL110292,-,putative formate hydrogenlyase subunit 7
WP_011655038.1,,RL_RS31235,pRL110293,-,putative formate hydrogenlyase subunit 5 precursor
WP_011655039.1,,RL_RS31240,pRL110294,-,putative hydrogenase-4 component F
WP_003548927.1,,RL_RS31245,pRL110295,-,putative hydrogenase-4 component E
WP_011655041.1,,RL_RS31250,pRL110296,-,putative hydrogenase protein
WP_011655042.1,,RL_RS31255,pRL110297,-,putative hydrogenase-4 component B
,,,pRL110298,-,putative thiolase
WP_011655044.1,SM_b20272,RL_RS31275,pRL110299,-,putative transmembrane transporter
WP_244432412.1,,RL_RS31285,pRL110300,-,hypothetical protein
WP_233939080.1,,RL_RS31290,pRL110301,-,putative transmembrane protein
WP_011655047.1,,RL_RS31295,pRL110302,-,putative transmembrane protein
WP_041936968.1,,RL_RS31300,pRL110303,-,putative 3-oxoacyl-[acyl-carrier-protein] (3-ketoacyl-acyl carrier protein reductase)
WP_011655049.1,SM_b21446,RL_RS31305,pRL110304,-,putative glycosylhydrolase
WP_011655050.1,SM_b21445,RL_RS31310,pRL110305,-,putative topoisomerase I
WP_041936902.1,,RL_RS31315,pRL110306,-,-
WP_011655051.1,SM_b21449,RL_RS31320,pRL110307,-,putative glutathione S-transferase
WP_011655052.1,,RL_RS31325,pRL110308,-,hypothetical protein
WP_011655053.1,,RL_RS31330,pRL110309,-,hypothetical protein
